swap_margin,who_has_seen_opponent_card,who_has_seen_my_card,cabo_known_ratio_threshold,cabo_avg_value_threshold,win_rate,trial
1.514900785035123,4,3,0.5661631889765631,2.1776598853078184,0.1,0
0.6181473007585245,4,4,0.9813725417609264,3.4265324494003613,0.15,1
1.6964102398802727,1,4,0.9934293904547566,4.001227933037771,0.0,2
0.5065202646279655,3,4,0.9400929127492027,4.82520188252497,0.15,3
0.7977338748134644,2,3,0.8907488167264093,5.079192232543379,0.05,4
0.36416907751385785,1,2,0.5552129696500503,4.117010498468926,0.15,5
1.9599536476113693,3,3,0.5784249585023429,2.99939692034871,0.1,6
1.4800204726197355,2,1,0.5080925648537404,5.241758924601511,0.25,7
0.04451244366423046,2,2,0.9493316820281503,5.112900782895075,0.05,8
1.3054761178881233,2,1,0.9923028955610388,2.20976314152714,0.2,9
2.7212906845480638,3,4,0.8846503014102169,4.8186720588095096,0.1,10
1.9053227473867111,2,4,0.5375718366703623,2.406244223892243,0.0,11
0.9914362231109511,3,1,0.613449352799165,5.7602470927440885,0.5,12
0.25891933985696336,1,3,0.7260526009817785,2.8545665976966523,0.0,13
1.1114192773815237,3,4,0.6172833679411536,5.362821967223718,0.15,14
0.8445431705128404,4,4,0.589001260880933,5.0284305099102085,0.2,15
0.697540781941768,2,1,0.9630584029836888,3.5583430002516168,0.25,16
0.48399129616942904,1,3,0.7183543621410124,2.805737631616629,0.0,17
2.353966488731114,4,2,0.7309399561023944,4.217924413693703,0.2,18
0.15216193030059633,1,1,0.5069518175630139,5.4819640002139,0.25,19
0.007483141246290792,4,1,0.8435680051997954,2.4476485283127487,0.45,20
0.09350741606925372,4,1,0.8702750730771969,3.74622735939047,0.45,21
2.979892961893115,1,2,0.9565294279738729,3.731182886257912,0.05,22
2.410867352265792,3,3,0.7481258581052108,3.2541103886352194,0.15,23
2.345310242426853,1,2,0.6041292681963544,3.3715353319360526,0.05,24
1.1274359472379798,2,4,0.6116572658157629,4.693482911786987,0.15,25
2.692893054057978,2,4,0.8685718075931148,3.7127605478793475,0.05,26
2.0845548466822437,1,3,0.8843796710750671,3.4703100329603176,0.0,27
0.4906360568846859,3,2,0.6578133598084093,5.521940788151136,0.15,28
0.2831597562456555,1,4,0.9675262228224182,2.811649483127262,0.0,29
2.599744925831887,4,2,0.845035416743568,2.872966774847413,0.1,30
2.362351912365973,4,2,0.5101834523629752,2.480859506424465,0.1,31
2.2826041001554707,2,1,0.9705566839395001,5.121736036266607,0.25,32
0.7374619991323001,1,2,0.5064370968362779,2.9080737714826084,0.0,33
0.3901275486452823,3,2,0.8229243531236515,2.902374875693288,0.15,34
1.34282208677147,1,3,0.659878197421952,5.202155734928935,0.1,35
0.11348527517493223,2,4,0.7103371751485222,4.32094569762452,0.15,36
0.6878902511921605,4,3,0.5902925487142822,3.992800248696579,0.25,37
0.3399282647652728,4,1,0.9100511275266672,4.552703640230436,0.5,38
